,CATEGORY,INSTALL_DATE,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,SHAPE_Length,STREET,START,END
2773,BKF-PBL,2015,DISTRICT4,,285.061934190003,NE CAMPUS WB PY ,12TH AVE NE AND NE CAMPUS WB PY,BROOKLYN AVE NE AND NE CAMPUS WB PY
2774,BKF-PBL,2017,DISTRICT4,,259.913543485966,NE NORTHLAKE WAY ,7TH AVE NE AND NE NORTHLAKE WAY,8TH AVE NE AND NE NORTHLAKE WAY
2775,BKF-BL,2000,DISTRICT4,,498.490513534045,NE PACIFIC ST ,EASTLAKE AVE NE AND NE PACIFIC ST,NE BOAT ST AND NE PACIFIC ST
2776,BKF-PBL,2015,DISTRICT6,,509.783007056376,NE RAVENNA EB BV ,NE RAVENNA EB BV AND WOODLAWN AVE NE,NE 68TH ST AND NE RAVENNA EB BV
2777,BKF-PBL,2015,DISTRICT6,,573.680636468107,NE RAVENNA EB BV ,NE 65TH ST AND NE RAVENNA EB BV,NE RAVENNA EB BV AND RAVENNA BV ON RP
2778,BKF-SHW,2007,DISTRICT7,,381.038630922588,W HOWE ST ,CLISE PL W AND W HOWE ST,MAGNOLIA C BV W AND W HOWE ST
2779,BKF-SHW,2010,DISTRICT2,,175.310530209731,S SPOKANE ST ,BEACON AVE S AND S SPOKANE ST,18TH AVE S AND S SPOKANE ST
2780,BKF-BL,2010,DISTRICT2,,273.42169908969,S SPOKANE ST ,19TH AVE S AND S SPOKANE ST,20TH AVE S AND S SPOKANE ST
2781,BKF-BL,2010,DISTRICT2,,255.632895460018,S SPOKANE ST ,21ST AVE S AND S SPOKANE ST,23RD AVE S AND S SPOKANE ST
2782,BKF-NGW,2012,DISTRICT6,,685.873615425655,NW 58TH ST ,28TH AVE NW AND NW 58TH ST,30TH AVE NW AND NW 58TH ST
2783,BKF-NGW,2012,DISTRICT6,,263.370006533046,NW 58TH ST ,32ND AVE NW AND NW 58TH ST,NW 57TH ST AND NW 58TH ST
2784,BKF-PBL,2018,DISTRICT2,,67.3728548456181,S COLUMBIAN WAY ,BEACON WR AVE S AND S COLUMBIAN WAY,BEACON ER AVE S AND S COLUMBIAN WAY
2785,BKF-SHW,2007,DISTRICT2,,597.222979071854,BEACON ER AVE S ,BEACON ER AVE S AND S COLUMBIAN WAY,BEACON ER AVE S AND S FERDINAND N ST
2786,BKF-SHW,2007,DISTRICT2,,215.536740604445,BEACON ER AVE S ,BEACON ER AVE S AND S FERDINAND N ST,BEACON ER AVE S AND S FERDINAND S ST
