OBJECTID,COMPKEY,COMPTYPE,SEGKEY,UNITID,UNITTYPE,UNITDESC,CATEGORY,MATERIAL,STYLE,MODEL_TYPE,ASSET_WIDTH,ASSET_HEIGHT,INSTALL_DATE,ASBLT,ATTACHMENT_1,ATTACHMENT_2,ATTACHMENT_3,ATTACHMENT_4,ATTACHMENT_5,ATTACHMENT_6,ATTACHMENT_7,ATTACHMENT_8,ATTACHMENT_9,ATTACHMENT_10,NUM_ATTACHMENTS,COMMENTS,CURRENT_STATUS,CURRENT_STATUS_DATE,CONDITION,CONDITION_ASSESSMENT_DATE,LAST_ASSET_VERIFICATION_DATE,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,OVERRIDECOMMENT,OWNERSHIP,OWNERSHIP_DATE,MAINTAINED_BY,MAINTENANCE_AGREEMENT,MAINTENANCE_FINANCIAL_RESP,ADDBY,ADDDTTM,MODBY,MODDTTM,DATE_MVW_LAST_UPDATED,COLOR,MOUNT_TYPE,MOUNT_MATERIAL,MAINTENANCE_GROUP,SHAPE_Length
1319,831382,16,1410,BKF-126,BKF,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST (BKF-BL),BKF-BL,,,,0,0,2010/12/31 00:00:00+00,,,,,,,,,,,,0,PROJECT NUMBER 109,PLNRECON,2010/12/31 00:00:00+00,,,2010/12/31 00:00:00+00,DISTRICT4,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,,,2022/04/28 19:12:14+00,,,, ,662.4032995
1320,831383,16,1411,BKF-127,BKF,11TH AVE NE BETWEEN NE 50TH ST AND NE 52ND ST (BKF-BL),BKF-BL,,,,0,0,2010/12/31 00:00:00+00,,,,,,,,,,,,0,PROJECT NUMBER 109,PLNRECON,2010/12/31 00:00:00+00,,,2010/12/31 00:00:00+00,DISTRICT4,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,,,2022/04/28 19:12:14+00,,,, ,551.9381409
1321,831384,16,1412,BKF-128,BKF,11TH AVE NE BETWEEN NE 52ND ST AND NE 55TH ST (BKF-BL),BKF-BL,,,,0,0,2010/12/31 00:00:00+00,,,,,,,,,,,,0,PROJECT NUMBER 109,PLNRECON,2010/12/31 00:00:00+00,,,2010/12/31 00:00:00+00,DISTRICT4,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,,,2022/04/28 19:12:14+00,,,, ,776.7358597
1329,834718,16,19871,BKF-3462,BKF,S DIRECTOR ST BETWEEN 46TH AVE S AND 48TH AVE S (BKF-NGW),BKF-NGW,,,,0,0,2017/12/31 00:00:00+00,,,,,,,,,,,,0,,INSVC,2017/12/31 00:00:00+00,,,2017/12/31 00:00:00+00,DISTRICT2,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,,,2022/04/28 19:12:14+00,,,, ,350.0098923
1330,834719,16,19872,BKF-3463,BKF,S DIRECTOR ST BETWEEN 48TH AVE S AND 50TH AVE S (BKF-NGW),BKF-NGW,,,,0,0,2017/12/31 00:00:00+00,,,,,,,,,,,,0,,INSVC,2017/12/31 00:00:00+00,,,2017/12/31 00:00:00+00,DISTRICT2,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,,,2022/04/28 19:12:14+00,,,, ,356.4342734
1336,834965,16,17040,BKF-3709,BKF,NE 55TH ST BETWEEN RAVENNA PL NE AND 25TH AVE NE (BKF-BL),BKF-BL,,,,0,0,2011/12/31 00:00:00+00,,,,,,,,,,,,0,,INSVC,2011/12/31 00:00:00+00,,,2011/12/31 00:00:00+00,DISTRICT4,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,,,2022/04/28 19:12:14+00,,,, ,589.2177386
1344,831456,16,1747,BKF-200,BKF,13TH AVE E BETWEEN E REPUBLICAN ST AND E MERCER ST (BKF-NGW),BKF-NGW,,,,0,0,2020/12/31 00:00:00+00,,,,,,,,,,,,0,,INSVC,2020/12/31 00:00:00+00,,,2020/12/31 00:00:00+00,DISTRICT3,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,,,2022/04/28 19:12:14+00,,,, ,419.5255025
1345,831457,16,1748,BKF-201,BKF,13TH AVE E BETWEEN E MERCER ST AND E ROY ST (BKF-NGW),BKF-NGW,,,,0,0,2020/12/31 00:00:00+00,,,,,,,,,,,,0,,INSVC,2020/12/31 00:00:00+00,,,2020/12/31 00:00:00+00,DISTRICT3,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,,,2022/04/28 19:12:14+00,,,, ,395.3566891
1354,831466,16,1794,BKF-210,BKF,13TH AVE S BETWEEN S NEVADA ST AND S OREGON ST (BKF-NGW),BKF-NGW,,,,0,0,2012/12/31 00:00:00+00,,,,,,,,,,,,0,,INSVC,2012/12/31 00:00:00+00,,,2012/12/31 00:00:00+00,DISTRICT2,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,,,2022/04/28 19:12:14+00,,,, ,662.9615724
1355,831467,16,1795,BKF-211,BKF,13TH AVE S BETWEEN S OREGON ST AND S SNOQUALMIE ST (BKF-NGW),BKF-NGW,,,,0,0,2012/12/31 00:00:00+00,,,,,,,,,,,,0,,INSVC,2012/12/31 00:00:00+00,,,2012/12/31 00:00:00+00,DISTRICT2,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,,,2022/04/28 19:12:14+00,,,, ,657.3917847
1360,831681,16,2645,BKF-425,BKF,19TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST (BKF-SHW),BKF-SHW,,,,0,0,2007/12/31 00:00:00+00,,,,,,,,,,,,0,,INSVC,2007/12/31 00:00:00+00,,,2007/12/31 00:00:00+00,DISTRICT3,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,SR1163846,2021/12/28 00:00:00+00,2022/04/28 19:12:14+00,,,, ,426.0298077
1361,831682,16,2647,BKF-426,BKF,19TH AVE BETWEEN E MARION ST AND E SPRING ST (BKF-SHW),BKF-SHW,,,,0,0,2007/12/31 00:00:00+00,,,,,,,,,,,,0,,INSVC,2007/12/31 00:00:00+00,,,2007/12/31 00:00:00+00,DISTRICT3,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,SR1163846,2021/12/28 00:00:00+00,2022/04/28 19:12:14+00,,,, ,429.8088091
1362,831683,16,2649,BKF-427,BKF,19TH AVE BETWEEN E UNION ST AND E PINE ST (BKF-SHW),BKF-SHW,,,,0,0,2007/12/31 00:00:00+00,,,,,,,,,,,,0,,INSVC,2007/12/31 00:00:00+00,,,2007/12/31 00:00:00+00,DISTRICT3,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,SR1163846,2021/12/28 00:00:00+00,2022/04/28 19:12:14+00,,,, ,864.3813281
1363,831684,16,2651,BKF-428,BKF,19TH AVE BETWEEN E MADISON ST AND E HOWELL ST (BKF-SHW),BKF-SHW,,,,0,0,2007/12/31 00:00:00+00,,,,,,,,,,,,0,,INSVC,2007/12/31 00:00:00+00,,,2007/12/31 00:00:00+00,DISTRICT3,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,SR1163846,2021/12/28 00:00:00+00,2022/04/28 19:12:14+00,,,, ,318.089425
1364,831685,16,2653,BKF-429,BKF,19TH AVE E BETWEEN E DENNY WAY AND E GLEN ST (BKF-SHW),BKF-SHW,,,,0,0,2007/12/31 00:00:00+00,,,,,,,,,,,,0,,INSVC,2007/12/31 00:00:00+00,,,2007/12/31 00:00:00+00,DISTRICT3,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,SR1163846,2021/12/28 00:00:00+00,2022/04/28 19:12:14+00,,,, ,180.5535048
1370,831293,16,1091,BKF-37,BKF,1ST AVE NE BETWEEN NE 92ND ST AND NE 94TH ST (BKF-PBL),BKF-PBL,,,,0,0,,,,,,,,,,,,,0,PROJECT NUMBER 159,INSVC,2021/10/05 00:00:00+00,,,,DISTRICT5,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,YUNH,2021/10/05 00:00:00+00,2022/04/28 19:12:14+00,,,, ,332.5217987
1371,831294,16,1093,BKF-38,BKF,1ST AVE NE BETWEEN NE 95TH ST AND NE 100TH ST (BKF-PBL),BKF-PBL,,,,0,0,,,,,,,,,,,,,0,PROJECT NUMBER 159,INSVC,2021/10/05 00:00:00+00,,,,DISTRICT5,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,YUNH,2021/10/05 00:00:00+00,2022/04/28 19:12:14+00,,,, ,1325.044021
1372,831295,16,1095,BKF-39,BKF,1ST AVE NE BETWEEN NE 103RD ST AND I5 EXPRESS ON RP (BKF-PBL),BKF-PBL,,,,0,0,,,,,,,,,,,,,0,PROJECT NUMBER 161,INSVC,2021/10/05 00:00:00+00,,,,DISTRICT5,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,YUNH,2021/10/05 00:00:00+00,2022/04/28 19:12:14+00,,,, ,200.8529482
