OBJECTID,COMPKEY,COMPTYPE,SEGKEY,UNITID,UNITTYPE,UNITDESC,CATEGORY,MATERIAL,STYLE,MODEL_TYPE,ASSET_WIDTH,ASSET_HEIGHT,INSTALL_DATE,ASBLT,ATTACHMENT_1,ATTACHMENT_2,ATTACHMENT_3,ATTACHMENT_4,ATTACHMENT_5,ATTACHMENT_6,ATTACHMENT_7,ATTACHMENT_8,ATTACHMENT_9,ATTACHMENT_10,NUM_ATTACHMENTS,COMMENTS,CURRENT_STATUS,CURRENT_STATUS_DATE,CONDITION,CONDITION_ASSESSMENT_DATE,LAST_ASSET_VERIFICATION_DATE,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,OVERRIDECOMMENT,OWNERSHIP,OWNERSHIP_DATE,MAINTAINED_BY,MAINTENANCE_AGREEMENT,MAINTENANCE_FINANCIAL_RESP,ADDBY,ADDDTTM,MODBY,MODDTTM,DATE_MVW_LAST_UPDATED,COLOR,MOUNT_TYPE,MOUNT_MATERIAL,MAINTENANCE_GROUP,SHAPE_Length
74,834429,16,14078,BKF-3173,BKF,EAST GREEN LAKE WAY N BETWEEN N 65TH ST AND N 66TH ST (BKF-PBL),BKF-PBL,,,,0,0,1980/12/31 00:00:00+00,,,,,,,,,,,,0,PROJECT NUMBER 458,PLNRECON,1980/12/31 00:00:00+00,,,1980/12/31 00:00:00+00,DISTRICT6,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,LYNCHC,2022/04/20 00:00:00+00,2022/04/28 19:12:14+00,,,, ,535.919413139159
75,834430,16,14079,BKF-3174,BKF,EAST GREEN LAKE WAY N BETWEEN N 66TH ST AND SUNNYSIDE AVE N (BKF-PBL),BKF-PBL,,,,0,0,1980/12/31 00:00:00+00,,,,,,,,,,,,0,PROJECT NUMBER 458,PLNRECON,1980/12/31 00:00:00+00,,,1980/12/31 00:00:00+00,DISTRICT6,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,LYNCHC,2022/04/20 00:00:00+00,2022/04/28 19:12:14+00,,,, ,876.725780876155
76,834431,16,14080,BKF-3175,BKF,EAST GREEN LAKE WAY N BETWEEN SUNNYSIDE AVE N AND 1ST AVE NE (BKF-PBL),BKF-PBL,,,,0,0,1980/12/31 00:00:00+00,,,,,,,,,,,,0,PROJECT NUMBER 458,PLNRECON,1980/12/31 00:00:00+00,,,1980/12/31 00:00:00+00,DISTRICT6,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,LYNCHC,2022/04/20 00:00:00+00,2022/04/28 19:12:14+00,,,, ,274.947313028547
77,834432,16,14081,BKF-3176,BKF,EAST GREEN LAKE WAY N BETWEEN 1ST AVE NE AND 2ND AVE NE (BKF-PBL),BKF-PBL,,,,0,0,1980/12/31 00:00:00+00,,,,,,,,,,,,0,PROJECT NUMBER 458,PLNRECON,1980/12/31 00:00:00+00,,,1980/12/31 00:00:00+00,DISTRICT6,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,LYNCHC,2022/04/26 00:00:00+00,2022/04/28 19:12:14+00,,,, ,190.057717755136
78,834433,16,14082,BKF-3177,BKF,EAST GREEN LAKE WAY N BETWEEN 2ND AVE NE AND 4TH AVE NE (BKF-PBL),BKF-PBL,,,,0,0,1980/12/31 00:00:00+00,,,,,,,,,,,,0,PROJECT NUMBER 458,PLNRECON,1980/12/31 00:00:00+00,,,1980/12/31 00:00:00+00,DISTRICT6,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,LYNCHC,2022/04/20 00:00:00+00,2022/04/28 19:12:14+00,,,, ,180.75749057646
79,834434,16,14083,BKF-3178,BKF,EAST GREEN LAKE WAY N BETWEEN 4TH AVE NE AND NE RAVENNA SR BV (BKF-PBL),BKF-PBL,,,,0,0,1980/12/31 00:00:00+00,,,,,,,,,,,,0,PROJECT NUMBER 458,PLNRECON,1980/12/31 00:00:00+00,,,1980/12/31 00:00:00+00,DISTRICT6,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,LYNCHC,2022/04/20 00:00:00+00,2022/04/28 19:12:14+00,,,, ,191.073489506678
86,837015,16,13216,BKF-5759,BKF,UNIVERSITY WAY NE BETWEEN NE 40TH ST AND NE CAMPUS EB PY (BKF-BL),BKF-BL,,,,0,0,2008/12/31 00:00:00+00,,,,,,,,,,,,0,,INSVC,2008/12/31 00:00:00+00,,,2008/12/31 00:00:00+00,DISTRICT4,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,,,2022/04/28 19:12:14+00,,,, ,231.282065250536
87,837016,16,13225,BKF-5760,BKF,UNIVERSITY WAY NE BETWEEN NE 52ND ST AND NE 55TH ST (BKF-BL),BKF-BL,,,,0,0,2009/12/31 00:00:00+00,,,,,,,,,,,,0,,INSVC,2009/12/31 00:00:00+00,,,2009/12/31 00:00:00+00,DISTRICT4,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,,,2022/04/28 19:12:14+00,,,, ,770.239649264695
88,837017,16,13227,BKF-5761,BKF,UNIVERSITY WAY NE BETWEEN NE 56TH ST AND NE RAVENNA EB BV (BKF-BL),BKF-BL,,,,0,0,2009/12/31 00:00:00+00,,,,,,,,,,,,0,,INSVC,2009/12/31 00:00:00+00,,,2009/12/31 00:00:00+00,DISTRICT4,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,,,2022/04/28 19:12:14+00,,,, ,563.381683940999
89,837018,16,13228,BKF-5762,BKF,UNIVERSITY WAY NE BETWEEN NE RAVENNA EB BV AND COWEN PL NE (BKF-PBL),BKF-PBL,,,,0,0,2015/12/31 00:00:00+00,,,,,,,,,,,,0,PROJECT NUMBER 404,INSVC,2015/12/31 00:00:00+00,,,2015/12/31 00:00:00+00,DISTRICT4,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,,,2022/04/28 19:12:14+00,,,, ,79.4264635149259
